guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
b2$4+nKu~>,Dumfries and Galloway,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Dumfries and Galloway.svg"" />","<img src=""locator-Dumfries and Galloway.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
l%uNZFvtk:,Dundee City,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Dundee City.svg"" />","<img src=""locator-Dundee City.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
uuoHiRIVY!,East Ayrshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-East Ayrshire.svg"" />","<img src=""locator-East Ayrshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
jWcg;DLg*},East Dunbartonshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-East Dunbartonshire.svg"" />","<img src=""locator-East Dunbartonshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
m<m+1+iVR2,East Lothian,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-East Lothian.svg"" />","<img src=""locator-East Lothian.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
m%!n1)F[|K,East Renfrewshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-East Renfrewshire.svg"" />","<img src=""locator-East Renfrewshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
ey[{$pT4jf,Falkirk,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Falkirk.svg"" />","<img src=""locator-Falkirk.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
f^eyTCC]mS,Fife,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Fife.svg"" />","<img src=""locator-Fife.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
b*|3J|Xhn&,Glasgow City,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Glasgow City.svg"" />","<img src=""locator-Glasgow City.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
pY!5=O8)Ab,Highland,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Highland.svg"" />","<img src=""locator-Highland.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
pL=IEV&>mk,Inverclyde,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Inverclyde.svg"" />","<img src=""locator-Inverclyde.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
g.^t<nl0pU,Midlothian,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Midlothian.svg"" />","<img src=""locator-Midlothian.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
